Model,Accuracy,Precision,Recall,F1
KB/bert-base-swedish-cased,0.9707637682254288,0.9707640531343152,0.9707637682254288,0.9707634618047314
google-bert/bert-base-multilingual-cased,0.9543703256024779,0.9543756159362274,0.9543703256024779,0.9543686991012261
